"y1_statefips","y2_statefips","y2_state","y2_state_name","n1","n2","AGI","Year"
1,96,"AL","AL Total Migration-US and Foreign",44461,89926,2507957,2016
1,97,"AL","AL Total Migration-US",43638,88139,2460974,2016
1,98,"AL","AL Total Migration-Foreign",823,1787,46982,2016
1,97,"AL","AL Total Migration-Same State",56323,115151,2486684,2016
1,1,"AL","AL Non-migrants",1586719,3527365,98693046,2016
1,13,"GA","Georgia",8103,16268,379251,2016
1,12,"FL","Florida",6493,12760,398129,2016
1,47,"TN","Tennessee",4043,7929,273599,2016
1,48,"TX","Texas",3602,7789,203940,2016
1,28,"MS","Mississippi",2369,4772,108413,2016
1,37,"NC","North Carolina",1725,3574,96944,2016
1,6,"CA","California",1544,2864,95036,2016
1,22,"LA","Louisiana",1285,2544,67787,2016
1,51,"VA","Virginia",1242,2671,77510,2016
1,8,"CO","Colorado",935,1777,72989,2016
1,45,"SC","South Carolina",919,1897,57744,2016
1,39,"OH","Ohio",856,1736,44834,2016
1,57,"FR","Foreign",823,1787,46982,2016
1,36,"NY","New York",767,1525,64801,2016
1,21,"KY","Kentucky",751,1664,41052,2016
1,17,"IL","Illinois",695,1313,32036,2016
1,26,"MI","Michigan",682,1406,32432,2016
1,53,"WA","Washington",614,1273,34346,2016
1,18,"IN","Indiana",548,1145,26296,2016
1,29,"MO","Missouri",531,1083,28886,2016
1,4,"AZ","Arizona",471,924,28134,2016
1,42,"PA","Pennsylvania",458,885,25979,2016
1,24,"MD","Maryland",452,838,25426,2016
1,5,"AR","Arkansas",403,849,21199,2016
1,20,"KS","Kansas",378,951,20232,2016
1,40,"OK","Oklahoma",344,756,20547,2016
1,34,"NJ","New Jersey",243,486,13857,2016
1,55,"WI","Wisconsin",241,487,11406,2016
1,25,"MA","Massachusetts",239,445,16062,2016
1,15,"HI","Hawaii",236,566,13541,2016
1,32,"NV","Nevada",223,414,8863,2016
1,41,"OR","Oregon",218,395,11584,2016
1,19,"IA","Iowa",208,438,10476,2016
1,2,"AK","Alaska",195,475,10526,2016
1,35,"NM","New Mexico",181,342,10133,2016
1,27,"MN","Minnesota",178,347,9430,2016
1,49,"UT","Utah",175,388,9775,2016
1,54,"WV","West Virginia",128,264,7261,2016
1,11,"DC","District Of Columbia",119,153,7537,2016
1,9,"CT","Connecticut",117,221,5524,2016
1,31,"NE","Nebraska",99,221,5856,2016
1,30,"MT","Montana",93,232,5032,2016
1,38,"ND","North Dakota",87,185,3636,2016
1,16,"ID","Idaho",75,164,3235,2016
1,23,"ME","Maine",74,142,4030,2016
1,56,"WY","Wyoming",66,110,3816,2016
1,44,"RI","Rhode Island",61,113,2999,2016
1,46,"SD","South Dakota",56,115,2409,2016
1,33,"NH","New Hampshire",51,102,2342,2016
1,10,"DE","Delaware",40,83,1429,2016
1,50,"VT","Vermont",25,58,2673,2016
2,96,"AK","AK Total Migration-US and Foreign",17583,35476,1059270,2016
2,97,"AK","AK Total Migration-US",17075,34432,1027959,2016
2,98,"AK","AK Total Migration-Foreign",508,1044,31311,2016
2,97,"AK","AK Total Migration-Same State",6977,13185,400587,2016
2,2,"AK","AK Non-migrants",263504,551228,21573844,2016
2,53,"WA","Washington",2211,4029,140940,2016
2,6,"CA","California",1510,2720,75415,2016
2,48,"TX","Texas",1370,3090,107007,2016
2,41,"OR","Oregon",1070,1901,61589,2016
2,12,"FL","Florida",796,1589,44244,2016
2,8,"CO","Colorado",788,1583,49645,2016
2,4,"AZ","Arizona",776,1511,51951,2016
2,37,"NC","North Carolina",523,1198,26968,2016
2,57,"FR","Foreign",508,1044,31311,2016
2,16,"ID","Idaho",466,956,31515,2016
2,13,"GA","Georgia",442,1043,21281,2016
2,51,"VA","Virginia",400,925,22678,2016
2,32,"NV","Nevada",400,757,27067,2016
2,15,"HI","Hawaii",374,756,23115,2016
2,30,"MT","Montana",356,633,24076,2016
2,36,"NY","New York",338,653,17467,2016
2,49,"UT","Utah",310,716,16527,2016
2,47,"TN","Tennessee",289,647,17502,2016
2,26,"MI","Michigan",271,536,15164,2016
2,27,"MN","Minnesota",271,487,16600,2016
2,39,"OH","Ohio",250,491,13135,2016
2,29,"MO","Missouri",239,536,12207,2016
2,40,"OK","Oklahoma",227,501,15788,2016
2,42,"PA","Pennsylvania",226,417,13152,2016
2,1,"AL","Alabama",220,569,14641,2016
2,55,"WI","Wisconsin",206,429,11648,2016
2,35,"NM","New Mexico",201,398,13164,2016
2,45,"SC","South Carolina",199,449,11598,2016
2,17,"IL","Illinois",196,357,10729,2016
2,21,"KY","Kentucky",171,377,8670,2016
2,22,"LA","Louisiana",170,373,9782,2016
2,24,"MD","Maryland",169,378,9727,2016
2,20,"KS","Kansas",160,413,8485,2016
2,18,"IN","Indiana",146,314,9139,2016
2,38,"ND","North Dakota",127,295,6800,2016
2,56,"WY","Wyoming",125,234,7540,2016
2,34,"NJ","New Jersey",125,284,5868,2016
2,25,"MA","Massachusetts",113,211,6029,2016
2,5,"AR","Arkansas",109,256,6658,2016
2,46,"SD","South Dakota",100,195,6963,2016
2,19,"IA","Iowa",98,188,5850,2016
2,28,"MS","Mississippi",93,207,5564,2016
2,31,"NE","Nebraska",92,183,4931,2016
2,23,"ME","Maine",81,132,4013,2016
2,33,"NH","New Hampshire",52,107,3437,2016
2,9,"CT","Connecticut",49,90,2333,2016
2,50,"VT","Vermont",45,69,1939,2016
2,10,"DE","Delaware",43,99,2159,2016
2,54,"WV","West Virginia",33,71,1644,2016
2,11,"DC","District Of Columbia",30,43,2800,2016
2,44,"RI","Rhode Island",19,36,813,2016
4,96,"AZ","AZ Total Migration-US and Foreign",82422,158093,4906305,2016
4,97,"AZ","AZ Total Migration-US",80220,153661,4751827,2016
4,98,"AZ","AZ Total Migration-Foreign",2202,4432,154478,2016
4,97,"AZ","AZ Total Migration-Same State",39345,79128,1773806,2016
4,4,"AZ","AZ Non-migrants",2244724,4934525,149241976,2016
4,6,"CA","California",14852,27083,878828,2016
4,48,"TX","Texas",7211,15294,608834,2016
4,53,"WA","Washington",4789,8923,284789,2016
4,8,"CO","Colorado",4707,8636,276951,2016
4,12,"FL","Florida",3536,6393,235033,2016
4,32,"NV","Nevada",3279,6251,128566,2016
4,41,"OR","Oregon",2947,5285,157514,2016
4,35,"NM","New Mexico",2862,6008,121550,2016
4,49,"UT","Utah",2637,6258,150013,2016
4,17,"IL","Illinois",2478,4228,158910,2016
4,57,"FR","Foreign",2202,4432,154478,2016
4,26,"MI","Michigan",1782,3361,95211,2016
4,37,"NC","North Carolina",1733,3502,101274,2016
4,36,"NY","New York",1722,2764,105408,2016
4,39,"OH","Ohio",1620,3014,84866,2016
4,51,"VA","Virginia",1498,3019,103302,2016
4,27,"MN","Minnesota",1482,2637,84793,2016
4,13,"GA","Georgia",1426,3074,85550,2016
4,55,"WI","Wisconsin",1254,2235,60698,2016
4,29,"MO","Missouri",1183,2318,61020,2016
4,16,"ID","Idaho",1180,2599,62432,2016
4,42,"PA","Pennsylvania",1180,2135,68876,2016
4,47,"TN","Tennessee",1096,2216,66300,2016
4,18,"IN","Indiana",1013,1860,49413,2016
4,40,"OK","Oklahoma",862,1720,41651,2016
4,25,"MA","Massachusetts",807,1241,48623,2016
4,20,"KS","Kansas",799,1626,52793,2016
4,24,"MD","Maryland",752,1539,46555,2016
4,19,"IA","Iowa",750,1468,38034,2016
4,15,"HI","Hawaii",729,1385,46948,2016
4,45,"SC","South Carolina",715,1493,43301,2016
4,34,"NJ","New Jersey",669,1200,52007,2016
4,30,"MT","Montana",668,1302,36095,2016
4,31,"NE","Nebraska",613,1177,30628,2016
4,2,"AK","Alaska",549,1084,24419,2016
4,21,"KY","Kentucky",516,1071,24406,2016
4,5,"AR","Arkansas",469,925,24182,2016
4,38,"ND","North Dakota",458,883,24317,2016
4,22,"LA","Louisiana",440,868,21432,2016
4,1,"AL","Alabama",439,855,27100,2016
4,46,"SD","South Dakota",436,815,23750,2016
4,56,"WY","Wyoming",400,861,19173,2016
4,9,"CT","Connecticut",360,630,20169,2016
4,28,"MS","Mississippi",243,502,10917,2016
4,33,"NH","New Hampshire",228,437,13154,2016
4,23,"ME","Maine",200,387,13217,2016
4,11,"DC","District Of Columbia",185,248,11234,2016
4,54,"WV","West Virginia",131,260,7359,2016
4,50,"VT","Vermont",114,190,6333,2016
4,10,"DE","Delaware",111,196,6785,2016
4,44,"RI","Rhode Island",110,205,7114,2016
5,96,"AR","AR Total Migration-US and Foreign",29791,60253,1538258,2016
5,97,"AR","AR Total Migration-US",29344,59326,1515298,2016
5,98,"AR","AR Total Migration-Foreign",447,927,22960,2016
5,97,"AR","AR Total Migration-Same State",40173,82499,1574241,2016
5,5,"AR","AR Non-migrants",943914,2113627,58681968,2016
5,48,"TX","Texas",6142,12550,305268,2016
5,40,"OK","Oklahoma",2576,5502,97619,2016
5,29,"MO","Missouri",2472,5078,96949,2016
5,47,"TN","Tennessee",1810,3579,98147,2016
5,12,"FL","Florida",1595,3053,126619,2016
5,6,"CA","California",1449,2677,85420,2016
5,22,"LA","Louisiana",1033,2094,44048,2016
5,28,"MS","Mississippi",841,1797,40304,2016
5,17,"IL","Illinois",818,1514,37996,2016
5,13,"GA","Georgia",807,1690,45401,2016
5,8,"CO","Colorado",793,1448,45158,2016
5,37,"NC","North Carolina",617,1322,37820,2016
5,20,"KS","Kansas",583,1194,27405,2016
5,4,"AZ","Arizona",568,1142,29318,2016
5,53,"WA","Washington",503,1002,26886,2016
5,1,"AL","Alabama",490,1015,25852,2016
5,39,"OH","Ohio",461,997,31577,2016
5,57,"FR","Foreign",447,927,22960,2016
5,51,"VA","Virginia",444,876,24918,2016
5,26,"MI","Michigan",424,862,17350,2016
5,18,"IN","Indiana",379,828,16920,2016
5,36,"NY","New York",340,588,20560,2016
5,21,"KY","Kentucky",299,640,14280,2016
5,55,"WI","Wisconsin",297,597,17106,2016
5,45,"SC","South Carolina",295,657,17831,2016
5,27,"MN","Minnesota",288,576,18423,2016
5,42,"PA","Pennsylvania",269,534,17830,2016
5,19,"IA","Iowa",269,554,11821,2016
5,41,"OR","Oregon",268,489,12073,2016
5,32,"NV","Nevada",229,455,10515,2016
5,31,"NE","Nebraska",205,426,9893,2016
5,24,"MD","Maryland",198,401,13256,2016
5,35,"NM","New Mexico",182,374,10243,2016
5,34,"NJ","New Jersey",166,317,12776,2016
5,49,"UT","Utah",152,334,7654,2016
5,25,"MA","Massachusetts",144,231,7034,2016
5,38,"ND","North Dakota",107,229,6351,2016
5,2,"AK","Alaska",103,225,4999,2016
5,15,"HI","Hawaii",89,177,3757,2016
5,54,"WV","West Virginia",81,167,7114,2016
5,16,"ID","Idaho",81,177,4226,2016
5,56,"WY","Wyoming",76,167,3314,2016
5,9,"CT","Connecticut",63,126,4662,2016
5,30,"MT","Montana",60,135,2475,2016
5,11,"DC","District Of Columbia",57,72,3455,2016
5,46,"SD","South Dakota",55,133,2784,2016
5,33,"NH","New Hampshire",48,92,2891,2016
5,10,"DE","Delaware",42,77,2072,2016
5,23,"ME","Maine",39,76,2134,2016
5,44,"RI","Rhode Island",23,58,2326,2016
5,50,"VT","Vermont",14,22,468,2016
6,96,"CA","CA Total Migration-US and Foreign",288918,546608,21980767,2016
6,97,"CA","CA Total Migration-US",275989,521161,20800487,2016
6,98,"CA","CA Total Migration-Foreign",12929,25447,1180280,2016
6,97,"CA","CA Total Migration-Same State",469650,871318,37270805,2016
6,6,"CA","CA Non-migrants",13795079,30665600,1218863061,2016
6,48,"TX","Texas",30052,62767,2353043,2016
6,53,"WA","Washington",22782,42791,1928012,2016
6,32,"NV","Nevada",22484,43195,1443121,2016
6,4,"AZ","Arizona",21581,41883,1363770,2016
6,41,"OR","Oregon",19217,34143,1338340,2016
6,36,"NY","New York",13532,18950,1396664,2016
6,12,"FL","Florida",13401,24367,1065476,2016
6,57,"FR","Foreign",12929,25447,1180280,2016
6,8,"CO","Colorado",12004,22037,918452,2016
6,51,"VA","Virginia",7532,15757,538867,2016
6,17,"IL","Illinois",7334,12678,578734,2016
6,37,"NC","North Carolina",7179,14991,528831,2016
6,13,"GA","Georgia",6816,13348,495294,2016
6,49,"UT","Utah",6529,14400,517078,2016
6,16,"ID","Idaho",5650,12229,445450,2016
