"y1_statefips","y2_statefips","y2_state","y2_state_name","n1","n2","AGI","Year"
1,96,"AL","AL Total Migration-US and Foreign",35681,69378,1597829,2015
1,97,"AL","AL Total Migration-US",34967,67911,1561677,2015
1,98,"AL","AL Total Migration-Foreign",714,1467,36152,2015
1,97,"AL","AL Total Migration-Same State",46630,95832,1871804,2015
1,1,"AL","AL Non-migrants",1598458,3579600,96406319,2015
1,13,"GA","Georgia",6655,13258,254092,2015
1,12,"FL","Florida",5329,10204,303897,2015
1,48,"TX","Texas",3674,7397,154428,2015
1,47,"TN","Tennessee",3116,5881,139622,2015
1,28,"MS","Mississippi",2022,4275,83165,2015
1,6,"CA","California",1232,2198,59586,2015
1,37,"NC","North Carolina",1214,2296,56031,2015
1,22,"LA","Louisiana",1037,1956,49626,2015
1,51,"VA","Virginia",828,1610,46498,2015
1,57,"FR","Foreign",714,1467,36152,2015
1,45,"SC","South Carolina",669,1313,14230,2015
1,8,"CO","Colorado",628,1130,28097,2015
1,36,"NY","New York",609,1057,24306,2015
1,39,"OH","Ohio",593,1179,23837,2015
1,17,"IL","Illinois",561,1045,25851,2015
1,26,"MI","Michigan",559,1110,19223,2015
1,21,"KY","Kentucky",523,1098,21678,2015
1,53,"WA","Washington",413,747,18448,2015
1,18,"IN","Indiana",412,819,19452,2015
1,29,"MO","Missouri",394,716,18372,2015
1,24,"MD","Maryland",386,691,17660,2015
1,42,"PA","Pennsylvania",362,722,17173,2015
1,4,"AZ","Arizona",341,643,16174,2015
1,40,"OK","Oklahoma",335,675,15080,2015
1,5,"AR","Arkansas",298,625,13851,2015
1,20,"KS","Kansas",247,511,9981,2015
1,34,"NJ","New Jersey",184,323,7510,2015
1,25,"MA","Massachusetts",182,281,7327,2015
1,15,"HI","Hawaii",175,345,7418,2015
1,32,"NV","Nevada",167,327,7062,2015
1,55,"WI","Wisconsin",154,264,2900,2015
1,27,"MN","Minnesota",142,286,6733,2015
1,41,"OR","Oregon",138,260,5595,2015
1,19,"IA","Iowa",130,239,5270,2015
1,2,"AK","Alaska",128,278,6138,2015
1,35,"NM","New Mexico",122,232,6285,2015
1,49,"UT","Utah",120,249,5234,2015
1,31,"NE","Nebraska",107,225,4780,2015
1,9,"CT","Connecticut",105,206,5588,2015
1,54,"WV","West Virginia",92,193,3784,2015
1,38,"ND","North Dakota",88,171,4348,2015
